saddr,uri,version,mtype,token-length,code,mid,token,options,payload,payload-length,observable,user_inserted
120.253.31.34,/qlink/searchdevice,1.0,2.0,2.0,4.05 Method Not Allowed,10525.0,cdea,,Method Not Allowed,18.0,3.0,False
120.253.31.34,/qlink/querygw,1.0,2.0,2.0,2.05 Content,27423.0,6b8f,,"{""gwList"":[]}",13.0,3.0,False
120.253.31.34,/qlink/addgw,1.0,2.0,2.0,4.05 Method Not Allowed,48083.0,5d0a,,Method Not Allowed,18.0,3.0,False
120.253.31.34,/qlink/netinfo,1.0,2.0,2.0,4.05 Method Not Allowed,41990.0,114c,,Method Not Allowed,18.0,3.0,False
120.253.31.34,/,1.0,2.0,2.0,4.04 Not Found,26709.0,6160,,Not Found,9.0,3.0,True
117.245.40.226,/qlink,1.0,2.0,2.0,4.05 Method Not Allowed,10526.0,cdeb,,,0.0,3.0,False
117.245.40.226,/qlink/ack,,,,,,,,Network error: MessageError,,,
117.245.40.226,/qlink/request,1.0,2.0,2.0,2.05 Content,48084.0,5d0b,"{""CONTENT_FORMAT"": ""TEXT""}","should post example,should post example should post exampleshould post exampleshould post exampleshould post examplepost exampleshould post exampleshould post example::{""deviceId"":""50294D0120011"",""deviceType"":""111"",""ipAddress"":""192.168.1.15""}",242.0,3.0,False
117.245.40.226,/qlink/searchgw,1.0,2.0,2.0,2.05 Content,41991.0,114d,"{""CONTENT_FORMAT"": ""TEXT""}","{""result"":1}",12.0,3.0,False
117.245.40.226,/qlink/success,1.0,2.0,2.0,2.05 Content,26710.0,6161,"{""CONTENT_FORMAT"": ""TEXT""}",,0.0,3.0,False
117.245.40.226,/qlink/wlantest,,,,,,,,Network error: ConRetransmitsExceeded,,,
117.245.40.226,/gw,1.0,2.0,2.0,4.05 Method Not Allowed,18172.0,08c8,,,0.0,3.0,False
117.245.40.226,/gw/query,1.0,2.0,2.0,4.05 Method Not Allowed,33495.0,5ea8,,,0.0,3.0,False
117.245.40.226,/gw/query/DiagnotorConnection,1.0,2.0,2.0,2.05 Content,6099.0,262f,"{""CONTENT_FORMAT"": ""TEXT""}","010_24949310A4CE{""apmsOnlineStatus"":0}",38.0,3.0,False
117.245.40.226,/gw/query/apdevices,1.0,2.0,2.0,2.05 Content,46393.0,b382,"{""CONTENT_FORMAT"": ""TEXT""}","{""APDevices"":[]}",16.0,3.0,False
117.245.40.226,/gw/query/config,1.0,2.0,2.0,2.05 Content,30672.0,8fe8,"{""CONTENT_FORMAT"": ""TEXT""}","""respCode"":1",12.0,3.0,False
117.245.40.226,/basic,1.0,2.0,2.0,4.05 Method Not Allowed,25245.0,1f85,,,0.0,3.0,False
117.245.40.226,/basic/regist,1.0,2.0,2.0,2.05 Content,23485.0,e2e7,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""ClientId"":""1391234567"",""ClientType"":0,""password"":""123456""}",80.0,3.0,False
117.245.40.226,/basic/show,1.0,2.0,2.0,2.05 Content,22082.0,e07e,"{""CONTENT_FORMAT"": ""TEXT""}","userIp:null
SUCCESS_RESP:
userDevices:
toLinkDevices:
",54.0,3.0,False
117.245.40.226,/device,1.0,2.0,2.0,4.05 Method Not Allowed,59140.0,04e4,,,0.0,3.0,False
117.245.40.226,/device/command,1.0,2.0,2.0,4.05 Method Not Allowed,65124.0,be95,,,0.0,3.0,False
117.245.40.226,/device/command/control,1.0,2.0,2.0,2.05 Content,36288.0,0f49,"{""CONTENT_FORMAT"": ""TEXT""}","{""respCode"":1}",14.0,3.0,False
117.245.40.226,/device/command/data,1.0,2.0,2.0,2.05 Content,8597.0,c291,"{""CONTENT_FORMAT"": ""TEXT""}",[],2.0,3.0,False
117.245.40.226,/device/inform,1.0,2.0,2.0,4.05 Method Not Allowed,4163.0,dae6,,,0.0,3.0,False
117.245.40.226,/device/inform/boot,1.0,2.0,2.0,2.05 Content,8131.0,ab35,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""deviceId"":""50292222111"",""deviceMac"":""50294D0120011"",""deviceType"":""30102"",""ipAddress"":""192.168.1.15"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",194.0,3.0,False
117.245.40.226,/device/inform/bootstrap,1.0,2.0,2.0,2.05 Content,45964.0,e975,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""deviceMac"":""50294D0120011"",""productToken"":""*****"",""deviceType"":""30102"",""ipAddress"":""192.168.1.15"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",192.0,3.0,False
117.245.40.226,/device/inform/data,1.0,2.0,2.0,2.05 Content,30669.0,57ba,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
117.245.40.226,/device/inform/heartbeat,1.0,2.0,2.0,2.05 Content,1442.0,d9e5,"{""CONTENT_FORMAT"": ""TEXT""}","{""respCode"":1}",14.0,3.0,False
117.245.40.226,/device/inform/offline,1.0,2.0,2.0,2.05 Content,61895.0,f08c,"{""CONTENT_FORMAT"": ""TEXT""}","{""respCode"":1}",14.0,3.0,False
117.245.40.226,/.well-known/core,1.0,2.0,2.0,2.05 Content,12990.0,655c,"{""CONTENT_FORMAT"": ""LINKFORMAT""}","</qlink>,</qlink/ack>;title=""Qlink-ACK Resource"",</qlink/request>;title=""Qlink-Request Resource"",</qlink/searchgw>;title=""SearchGW Resource"",</qlink/success>;title=""Qlink-Success Resource"",</qlink/wlantest>;title=""Qlink-WLAN Resource"",</gw>,</gw/query>,</gw/query/DiagnotorConnection>;title=""Connect To Diagnotor"",</gw/query/apdevices>;title=""Inform Data Resource"",</gw/query/config>;title=""config-properties Resource"",</basic>,</basic/regist>;title=""Qlink-Regist Resource"",</basic/show>;title=""Qlink-SHOW Resource"",</device>,</device/command>,</device/command/control>;title=""Device Control Resource"",</device/command/data>;title=""Control Data Resource"",</device/inform>,</device/inform/boot>;title=""Boot-Request Resource"",</device/inform/bootstrap>;title=""bootstrap-Request Resource"",</device/inform/data>;obs;title=""Inform Data Resource"",</device/inform/heartbeat>;title=""HeartBeat Resource"",</device/inform/offline>;title=""ChildDevice Offline Resource"",</.well-known/core>",976.0,3.0,False
117.245.40.226,/,1.0,2.0,2.0,2.05 Content,52476.0,a6cd,"{""CONTENT_FORMAT"": ""TEXT""}","************************************************************
CoAP RFC 7252                                               
************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014, 2015, 2016 Institute for Pervasive Computing, ETH Zurich and others
************************************************************",448.0,3.0,True
109.184.213.4,/register,1.0,2.0,2.0,4.05 Method Not Allowed,10527.0,cdec,,,0.0,3.0,False
109.184.213.4,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,27425.0,6b91,,,0.0,3.0,False
109.184.213.4,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,48085.0,5d0c,,0x1,3.0,3.0,False
109.184.213.4,/mirror,1.0,2.0,2.0,4.05 Method Not Allowed,41992.0,114e,,,0.0,3.0,False
109.184.213.4,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,26711.0,6162,,,0.0,3.0,False
109.184.213.4,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,34182.0,4108,,,0.0,3.0,False
109.184.213.4,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,18173.0,08c9,,,0.0,3.0,False
109.184.213.4,/info,1.0,2.0,2.0,2.05 Content,33496.0,5ea9,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""53ca0b0a-88fc-11e6-8115-1762a36dfdd9"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Start II"",""version"":""0.3.5-1""}",130.0,3.0,False
109.184.213.4,/,1.0,2.0,2.0,4.04 Not Found,6100.0,2630,,,0.0,3.0,True
124.164.102.164,/qlink/searchdevice,1.0,2.0,2.0,4.05 Method Not Allowed,10528.0,cded,,Method Not Allowed,18.0,3.0,False
