saddr,uri,version,mtype,token-length,code,mid,token,options,payload,payload-length,observable,user_inserted
112.19.46.102,/qlink,1.0,2.0,2.0,4.05 Method Not Allowed,61512.0,1b1e,,,0.0,3.0,False
112.19.46.102,/qlink/searchgw,1.0,2.0,2.0,4.00 Bad Request,33384.0,2bcb,"{""CONTENT_FORMAT"": ""TEXT""}",not soupport GET,16.0,3.0,False
112.19.46.102,/device,1.0,2.0,2.0,4.05 Method Not Allowed,24451.0,e91c,,,0.0,3.0,False
112.19.46.102,/device/inform,1.0,2.0,2.0,4.05 Method Not Allowed,11813.0,27e3,,,0.0,3.0,False
112.19.46.102,/device/inform/boot,1.0,2.0,2.0,4.00 Bad Request,34225.0,e46e,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""deviceId"":""50292222111"",""deviceMac"":""50294D0120011"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",194.0,3.0,False
112.19.46.102,/device/inform/bootstrap,1.0,2.0,2.0,4.00 Bad Request,15766.0,62b5,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""deviceMac"":""AABBCCDDEEFF"",""productToken"":""*****"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",191.0,3.0,False
112.19.46.102,/device/inform/data,1.0,2.0,2.0,4.00 Bad Request,26555.0,e8b7,"{""CONTENT_FORMAT"": ""TEXT""}",should post ,12.0,3.0,False
112.19.46.102,/device/inform/heartbeat,1.0,2.0,2.0,4.00 Bad Request,50994.0,a164,"{""CONTENT_FORMAT"": ""TEXT""}","should post example,{
""deviceId"": ""deviceId""

}",47.0,3.0,False
112.19.46.102,/device/inform/offline,1.0,2.0,2.0,4.00 Bad Request,12862.0,ca1c,"{""CONTENT_FORMAT"": ""TEXT""}",should post ,12.0,3.0,False
112.19.46.102,/ekit,1.0,2.0,2.0,4.05 Method Not Allowed,29200.0,2ef1,,,0.0,3.0,False
112.19.46.102,/ekit/boot,1.0,2.0,2.0,4.00 Bad Request,33611.0,edde,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""deviceId"":""50292222111"",""deviceMac"":""50294D0120011"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",194.0,3.0,False
112.19.46.102,/ekit/bootstrap,1.0,2.0,2.0,4.00 Bad Request,57401.0,8592,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""deviceMac"":""AABBCCDDEEFF"",""productToken"":""*****"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",191.0,3.0,False
112.19.46.102,/ekit/heartbeat,1.0,2.0,2.0,4.00 Bad Request,5193.0,8d58,"{""CONTENT_FORMAT"": ""TEXT""}","should post example,{
""deviceId"": ""deviceId""

}",47.0,3.0,False
112.19.46.102,/ekit/searchgw,1.0,2.0,2.0,4.00 Bad Request,31989.0,3b6f,"{""CONTENT_FORMAT"": ""TEXT""}",not soupport GET,16.0,3.0,False
112.19.46.102,/.well-known/core,1.0,2.0,2.0,2.05 Content,59529.0,3f5b,"{""CONTENT_FORMAT"": ""LINKFORMAT""}","</qlink>,</qlink/searchgw>,</device>,</device/inform>,</device/inform/boot>,</device/inform/bootstrap>,</device/inform/data>,</device/inform/heartbeat>,</device/inform/offline>,</ekit>,</ekit/boot>,</ekit/bootstrap>,</ekit/heartbeat>,</ekit/searchgw>,</.well-known/core>",270.0,3.0,False
112.19.46.102,/,1.0,2.0,2.0,2.05 Content,2881.0,8e05,"{""CONTENT_FORMAT"": ""TEXT""}","************************************************************
CoAP RFC 7252                                               
************************************************************
This server is using the Eclipse Californium (Cf) CoAP framework
published under EPL+EDL: http://www.eclipse.org/californium/

(c) 2014, 2015, 2016 Institute for Pervasive Computing, ETH Zurich and others
************************************************************",448.0,3.0,True
117.140.177.21,/qlink,1.0,2.0,2.0,4.05 Method Not Allowed,61513.0,1b1f,,,0.0,3.0,False
117.140.177.21,/qlink/searchgw,1.0,2.0,2.0,4.00 Bad Request,33385.0,2bcc,"{""CONTENT_FORMAT"": ""TEXT""}",not soupport GET,16.0,3.0,False
117.140.177.21,/device,1.0,2.0,2.0,4.05 Method Not Allowed,24452.0,e91d,,,0.0,3.0,False
117.140.177.21,/device/inform,1.0,2.0,2.0,4.05 Method Not Allowed,11814.0,27e4,,,0.0,3.0,False
117.140.177.21,/device/inform/boot,1.0,2.0,2.0,4.00 Bad Request,34226.0,e46f,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""deviceId"":""50292222111"",""deviceMac"":""50294D0120011"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",194.0,3.0,False
117.140.177.21,/device/inform/bootstrap,1.0,2.0,2.0,4.00 Bad Request,15767.0,62b6,"{""CONTENT_FORMAT"": ""TEXT""}","should post example:{""deviceMac"":""AABBCCDDEEFF"",""productToken"":""*****"",""deviceType"":""30102"",""ipAddress"":""192.168.1.12"",""firmwareVersion"":""f1.0"",""softwareVersion"":""s1.0"",""timestamp"":734354788}",191.0,3.0,False
117.140.177.21,/device/inform/data,1.0,2.0,2.0,4.00 Bad Request,26556.0,e8b8,"{""CONTENT_FORMAT"": ""TEXT""}",should post ,12.0,3.0,False
117.140.177.21,/device/inform/heartbeat,1.0,2.0,2.0,4.00 Bad Request,50995.0,a165,"{""CONTENT_FORMAT"": ""TEXT""}","should post example,{
""deviceId"": ""deviceId""

}",47.0,3.0,False
117.140.177.21,/device/inform/offline,1.0,2.0,2.0,4.00 Bad Request,12863.0,ca1d,"{""CONTENT_FORMAT"": ""TEXT""}",should post ,12.0,3.0,False
117.140.177.21,/ekit,1.0,2.0,2.0,4.05 Method Not Allowed,29201.0,2ef2,,,0.0,3.0,False
