saddr,uri,version,mtype,token-length,code,mid,token,options,payload,payload-length,observable,user_inserted
78.85.123.36,/register,1.0,2.0,2.0,4.05 Method Not Allowed,69.0,a0e6,,,0.0,3.0,False
78.85.123.36,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,49444.0,bea7,,,0.0,3.0,False
78.85.123.36,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,11589.0,e1fa,,0x1,3.0,3.0,False
78.85.123.36,/mirror,1.0,2.0,2.0,4.05 Method Not Allowed,25736.0,fa51,,,0.0,3.0,False
78.85.123.36,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,41504.0,41ed,,,0.0,3.0,False
78.85.123.36,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,50333.0,a0ed,,,0.0,3.0,False
78.85.123.36,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,47877.0,4d79,,,0.0,3.0,False
78.85.123.36,/info,1.0,2.0,2.0,2.05 Content,47561.0,4443,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""d242e596-9e8b-11e8-8f23-df988c4d73db"",""http_port"":80,""type"":""router"",""name"":""Keenetic DSL"",""version"":""0.3.5-1""}",119.0,3.0,False
78.85.123.36,/,1.0,2.0,2.0,4.04 Not Found,63432.0,e40e,,,0.0,3.0,True
95.67.172.188,/register,1.0,2.0,2.0,4.05 Method Not Allowed,70.0,a0e7,,,0.0,3.0,False
95.67.172.188,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,49445.0,bea8,,,0.0,3.0,False
95.67.172.188,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,11590.0,e1fb,,0x1,3.0,3.0,False
95.67.172.188,/mirror,1.0,2.0,2.0,4.05 Method Not Allowed,25737.0,fa52,,,0.0,3.0,False
95.67.172.188,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,41505.0,41ee,,,0.0,3.0,False
95.67.172.188,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,50334.0,a0ee,,,0.0,3.0,False
95.67.172.188,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,47878.0,4d7a,,,0.0,3.0,False
95.67.172.188,/info,1.0,2.0,2.0,2.05 Content,47562.0,4444,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""c3d3f55c-ba7d-11e6-8115-c96c17a0a964"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Lite III"",""version"":""0.3.5-1""}",130.0,3.0,False
95.67.172.188,/,1.0,2.0,2.0,4.04 Not Found,63433.0,e40f,,,0.0,3.0,True
94.230.120.116,/register,1.0,2.0,2.0,4.05 Method Not Allowed,71.0,a0e8,,,0.0,3.0,False
94.230.120.116,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,49446.0,bea9,,,0.0,3.0,False
94.230.120.116,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,11591.0,e1fc,,0x1,3.0,3.0,False
94.230.120.116,/mirror,1.0,2.0,2.0,4.05 Method Not Allowed,25738.0,fa53,,,0.0,3.0,False
94.230.120.116,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,41506.0,41ef,,,0.0,3.0,False
94.230.120.116,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,50335.0,a0ef,,,0.0,3.0,False
94.230.120.116,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,47879.0,4d7b,,,0.0,3.0,False
94.230.120.116,/info,1.0,2.0,2.0,2.05 Content,47563.0,4445,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""807a5db2-938b-11e8-8f23-b7a9319efb80"",""http_port"":80,""type"":""router"",""name"":""Keenetic Start"",""version"":""0.3.5-1""}",121.0,3.0,False
94.230.120.116,/,1.0,2.0,2.0,4.04 Not Found,63434.0,e410,,,0.0,3.0,True
85.202.233.24,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,72.0,a0e9,,,0.0,3.0,False
85.202.233.24,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,49447.0,beaa,,,0.0,3.0,False
85.202.233.24,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,11592.0,e1fd,,,0.0,3.0,False
85.202.233.24,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,25739.0,fa54,,,0.0,3.0,False
85.202.233.24,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,41507.0,41f0,,,0.0,3.0,False
85.202.233.24,/info,1.0,2.0,2.0,2.05 Content,50336.0,a0f0,"{""CONTENT_FORMAT"": ""TEXT""}","{""cloud"":true,""dpn"":true,""eula"":true,""password"":true,""cid"":""7bbf05dc-482e-11ed-911a-4fe54b1bb278"",""vendor"":""Keenetic"",""name"":""Keenetic 4G"",""type"":""router"",""version"":""4.03.C.5.0-0"",""http_port"":80}",195.0,3.0,False
85.202.233.24,/,1.0,2.0,2.0,4.04 Not Found,47880.0,4d7c,,,0.0,3.0,True
95.163.10.82,/register,1.0,2.0,2.0,4.05 Method Not Allowed,73.0,a0ea,,,0.0,3.0,False
95.163.10.82,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,49448.0,beab,,,0.0,3.0,False
95.163.10.82,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,11593.0,e1fe,,0x1,3.0,3.0,False
95.163.10.82,/mirror,1.0,2.0,2.0,4.05 Method Not Allowed,25740.0,fa55,,,0.0,3.0,False
95.163.10.82,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,41508.0,41f1,,,0.0,3.0,False
95.163.10.82,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,50337.0,a0f1,,,0.0,3.0,False
95.163.10.82,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,47881.0,4d7d,,,0.0,3.0,False
95.163.10.82,/info,1.0,2.0,2.0,2.05 Content,47564.0,4446,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""53c972c6-88fc-11e6-8115-41a245260d11"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Lite III"",""version"":""0.3.5-1""}",130.0,3.0,False
95.163.10.82,/,1.0,2.0,2.0,4.04 Not Found,63435.0,e411,,,0.0,3.0,True
78.30.213.168,/register,1.0,2.0,2.0,4.05 Method Not Allowed,74.0,a0eb,,,0.0,3.0,False
78.30.213.168,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,49449.0,beac,,,0.0,3.0,False
78.30.213.168,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,11594.0,e1ff,,0x1,3.0,3.0,False
78.30.213.168,/mirror,1.0,2.0,2.0,4.05 Method Not Allowed,25741.0,fa56,,,0.0,3.0,False
78.30.213.168,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,41509.0,41f2,,,0.0,3.0,False
78.30.213.168,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,50338.0,a0f2,,,0.0,3.0,False
78.30.213.168,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,47882.0,4d7e,,,0.0,3.0,False
78.30.213.168,/info,1.0,2.0,2.0,2.05 Content,47565.0,4447,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""498731fa-c214-11e9-8f23-8fe609cc4c73"",""http_port"":80,""type"":""router"",""name"":""Keenetic 4G"",""version"":""0.3.5-1""}",118.0,3.0,False
78.30.213.168,/,1.0,2.0,2.0,4.04 Not Found,63436.0,e412,,,0.0,3.0,True
85.113.130.128,/register,1.0,2.0,2.0,4.05 Method Not Allowed,75.0,a0ec,,,0.0,3.0,False
85.113.130.128,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,49450.0,bead,,,0.0,3.0,False
85.113.130.128,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,11595.0,e200,,0x1,3.0,3.0,False
85.113.130.128,/mirror,1.0,2.0,2.0,4.05 Method Not Allowed,25742.0,fa57,,,0.0,3.0,False
85.113.130.128,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,41510.0,41f3,,,0.0,3.0,False
85.113.130.128,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,50339.0,a0f3,,,0.0,3.0,False
85.113.130.128,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,47883.0,4d7f,,,0.0,3.0,False
85.113.130.128,/info,1.0,2.0,2.0,2.05 Content,47566.0,4448,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""73bb734c-25f9-11e6-8115-9f622fcc5450"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic 4G III"",""version"":""0.3.5-1""}",128.0,3.0,False
85.113.130.128,/,1.0,2.0,2.0,4.04 Not Found,63437.0,e413,,,0.0,3.0,True
93.126.90.154,/register,1.0,2.0,2.0,4.05 Method Not Allowed,76.0,a0ed,,,0.0,3.0,False
93.126.90.154,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,49451.0,beae,,,0.0,3.0,False
93.126.90.154,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,11596.0,e201,,0x1,3.0,3.0,False
93.126.90.154,/mirror,1.0,2.0,2.0,4.05 Method Not Allowed,25743.0,fa58,,,0.0,3.0,False
93.126.90.154,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,41511.0,41f4,,,0.0,3.0,False
93.126.90.154,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,50340.0,a0f4,,,0.0,3.0,False
93.126.90.154,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,47884.0,4d80,,,0.0,3.0,False
93.126.90.154,/info,1.0,2.0,2.0,2.05 Content,47567.0,4449,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""b92b9c1e-db7e-11e6-8115-c92eaa1233aa"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Lite III"",""version"":""0.3.5-1""}",130.0,3.0,False
93.126.90.154,/,1.0,2.0,2.0,4.04 Not Found,63438.0,e414,,,0.0,3.0,True
85.15.65.74,/register,1.0,2.0,2.0,4.05 Method Not Allowed,77.0,a0ee,,,0.0,3.0,False
