saddr,uri,version,mtype,token-length,code,mid,token,options,payload,payload-length,observable,user_inserted
183.221.225.57,/device/inform/data,1.0,2.0,2.0,2.05 Content,4638.0,0f9f,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
171.38.217.59,/device/inform/data,1.0,2.0,2.0,2.05 Content,4640.0,0fa1,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.233.214.146,/device/inform/data,1.0,2.0,2.0,2.05 Content,4642.0,0fa3,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
165.232.144.56,/efento/t,1.0,2.0,2.0,2.05 Content,53371.0,89c0,"{""OBSERVE"": ""0""}",b'h\xf6(\x12',4.0,1.0,False
183.220.29.66,/device/inform/data,1.0,2.0,2.0,2.05 Content,21380.0,6375,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.236.66.91,/device/inform/data,1.0,2.0,2.0,2.05 Content,4650.0,0fab,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
