saddr,uri,version,mtype,token-length,code,mid,token,options,payload,payload-length,observable,user_inserted
109.248.125.60,/register,1.0,2.0,2.0,4.05 Method Not Allowed,27774.0,d041,,,0.0,3.0,False
109.248.125.60,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,59147.0,5ff8,,,0.0,3.0,False
109.248.125.60,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,37805.0,d79b,,0x1,3.0,3.0,False
109.248.125.60,/mirror,1.0,2.0,2.0,4.05 Method Not Allowed,44604.0,2e89,,,0.0,3.0,False
109.248.125.60,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,20727.0,75f4,,,0.0,3.0,False
109.248.125.60,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,49211.0,137f,,,0.0,3.0,False
109.248.125.60,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,11485.0,483f,,,0.0,3.0,False
109.248.125.60,/info,1.0,2.0,2.0,2.05 Content,60961.0,0fd2,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""9ca1e090-2b79-11e6-8115-f59274d1aa86"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Lite III"",""version"":""0.3.5-1""}",130.0,3.0,False
109.248.125.60,/,1.0,2.0,2.0,4.04 Not Found,48526.0,1045,,,0.0,3.0,True
109.94.177.198,/register,1.0,2.0,2.0,4.05 Method Not Allowed,27775.0,d042,,,0.0,3.0,False
109.94.177.198,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,59148.0,5ff9,,,0.0,3.0,False
109.94.177.198,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,37806.0,d79c,,0x1,3.0,3.0,False
109.94.177.198,/mirror,1.0,2.0,2.0,4.05 Method Not Allowed,44605.0,2e8a,,,0.0,3.0,False
109.94.177.198,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,20728.0,75f5,,,0.0,3.0,False
109.94.177.198,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,49212.0,1380,,,0.0,3.0,False
109.94.177.198,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,11486.0,4840,,,0.0,3.0,False
109.94.177.198,/info,1.0,2.0,2.0,2.05 Content,60962.0,0fd3,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""9c9fecf4-2b79-11e6-8115-775082427066"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic 4G III"",""version"":""0.3.5-1""}",128.0,3.0,False
109.94.177.198,/,1.0,2.0,2.0,4.04 Not Found,48527.0,1046,,,0.0,3.0,True
109.248.84.203,/register,1.0,2.0,2.0,4.05 Method Not Allowed,27776.0,d043,,,0.0,3.0,False
109.248.84.203,/ndm/dis,1.0,2.0,2.0,4.00 Bad Request,59149.0,5ffa,,,0.0,3.0,False
109.248.84.203,/ndm/ci,1.0,2.0,2.0,4.00 Bad Request,37807.0,d79d,,0x1,3.0,3.0,False
109.248.84.203,/mirror,1.0,2.0,2.0,4.05 Method Not Allowed,44606.0,2e8b,,,0.0,3.0,False
109.248.84.203,/uhp,1.0,2.0,2.0,4.05 Method Not Allowed,20729.0,75f6,,,0.0,3.0,False
109.248.84.203,/ndm/logout,1.0,2.0,2.0,4.05 Method Not Allowed,49213.0,1381,,,0.0,3.0,False
109.248.84.203,/ndm/login,1.0,2.0,2.0,4.05 Method Not Allowed,11487.0,4841,,,0.0,3.0,False
109.248.84.203,/info,1.0,2.0,2.0,2.05 Content,60963.0,0fd4,"{""CONTENT_FORMAT"": ""TEXT""}","{""cid"":""d91a5116-787b-11e6-8115-ff0e59f02db8"",""http_port"":80,""type"":""router"",""name"":""ZyXEL Keenetic Lite III"",""version"":""0.3.5-1""}",130.0,3.0,False
109.248.84.203,/,1.0,2.0,2.0,4.04 Not Found,48528.0,1047,,,0.0,3.0,True
